date,codes,names,infected
2020-03-12,KAZ,Kazakhstan,0
2020-03-12,AST,Nur-Sultan,0
2020-03-12,ALA,Almaty,0
2020-03-12,SHY,Shymkent,0
2020-03-12,AKM,Aqmola oblysy,0
2020-03-12,AKT,Aqtobe oblysy,0
2020-03-12,ALM,Almaty oblysy,0
2020-03-12,ATY,Atyrau oblysy,0
2020-03-12,VOS,Shyghys Qazaqstan oblysy,0
2020-03-12,ZHA,Zhambyl oblysy,0
2020-03-12,ZAP,Batys Qazaqstan oblysy,0
2020-03-12,KAR,Qaraghandy oblysy,0
2020-03-12,KUS,Qostanay oblysy,0
2020-03-12,KZY,Qyzylorda oblysy,0
2020-03-12,MAN,Mangghystau oblysy,0
2020-03-12,PAV,Pavlodar oblysy,0
2020-03-12,SEV,Soltustik Qazaqstan oblysy,0
2020-03-12,YUS,Turkistan oblysy,0
2020-03-13,KAZ,Kazakhstan,4
2020-03-13,AST,Nur-Sultan,1
2020-03-13,ALA,Almaty,3
2020-03-13,SHY,Shymkent,0
2020-03-13,AKM,Aqmola oblysy,0
2020-03-13,AKT,Aqtobe oblysy,0
2020-03-13,ALM,Almaty oblysy,0
2020-03-13,ATY,Atyrau oblysy,0
2020-03-13,VOS,Shyghys Qazaqstan oblysy,0
2020-03-13,ZHA,Zhambyl oblysy,0
2020-03-13,ZAP,Batys Qazaqstan oblysy,0
2020-03-13,KAR,Qaraghandy oblysy,0
2020-03-13,KUS,Qostanay oblysy,0
2020-03-13,KZY,Qyzylorda oblysy,0
2020-03-13,MAN,Mangghystau oblysy,0
2020-03-13,PAV,Pavlodar oblysy,0
2020-03-13,SEV,Soltustik Qazaqstan oblysy,0
2020-03-13,YUS,Turkistan oblysy,0
2020-03-14,KAZ,Kazakhstan,6
2020-03-14,AST,Nur-Sultan,2
2020-03-14,ALA,Almaty,4
2020-03-14,SHY,Shymkent,0
2020-03-14,AKM,Aqmola oblysy,0
2020-03-14,AKT,Aqtobe oblysy,0
2020-03-14,ALM,Almaty oblysy,0
2020-03-14,ATY,Atyrau oblysy,0
2020-03-14,VOS,Shyghys Qazaqstan oblysy,0
2020-03-14,ZHA,Zhambyl oblysy,0
2020-03-14,ZAP,Batys Qazaqstan oblysy,0
2020-03-14,KAR,Qaraghandy oblysy,0
2020-03-14,KUS,Qostanay oblysy,0
2020-03-14,KZY,Qyzylorda oblysy,0
2020-03-14,MAN,Mangghystau oblysy,0
2020-03-14,PAV,Pavlodar oblysy,0
2020-03-14,SEV,Soltustik Qazaqstan oblysy,0
2020-03-14,YUS,Turkistan oblysy,0
2020-03-15,KAZ,Kazakhstan,9
2020-03-15,AST,Nur-Sultan,2
2020-03-15,ALA,Almaty,7
